"id_sample","id_condition","cat_condition_type","id_es","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
"109_1","109_1Ncm","1","35","* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",21.11,9.49,605,32.3,13.92,605,NA,NA,NA,NA,NA,NA
"109_1","109_1bau","ctl","36","* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",21.66,9.32,530,30.7,13.86,530,NA,NA,NA,NA,NA,NA
"109_2","109_2Ncm","1","37","* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",23.59,8.05,593,33.7,14.87,593,NA,NA,NA,NA,NA,NA
"109_2","109_2bau","ctl","38","* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",23.56,8.34,535,32.3,13.83,535,NA,NA,NA,NA,NA,NA
"110","110NVGm","1","39","NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",21,3.35,25.3333333333333,24.54,2.98,25.3333333333333,NA,NA,NA,NA,NA,NA
"110","110NVGm","1","40","Reading  comprehension  test","NO - Not standardized",34.67,24.15,25.3333333333333,66.63,30.28,25.3333333333333,NA,NA,NA,NA,NA,NA
"110","110m","2","41","NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",17.13,7.93,25.3333333333333,21.65,6.14,25.3333333333333,NA,NA,NA,NA,NA,NA
"110","110m","2","42","Reading  comprehension  test","NO - Not standardized",13.84,13.17,25.3333333333333,30.32,22.26,25.3333333333333,NA,NA,NA,NA,NA,NA
"110","110bau","ctl","43","NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",18.05,4.94,25.3333333333333,17.8,4.93,25.3333333333333,NA,NA,NA,NA,NA,NA
"110","110bau","ctl","44","Reading  comprehension  test","NO - Not standardized",30.81,28.05,25.3333333333333,45.08,35.48,25.3333333333333,NA,NA,NA,NA,NA,NA
"111","111Nm","1","45","Post RC test","NO - Not standardized",NA,NA,NA,82.22,18.12,32,NA,NA,NA,NA,NA,NA
"111","111bau","ctl","46","Post RC test","NO - Not standardized",NA,NA,NA,47.18,23.85,34,NA,NA,NA,NA,NA,NA
"112","112Nm","1","47","Reading Comprehension Test","YES - standardized",17.8,5.58,155,21.47,5.75,155,NA,NA,NA,NA,NA,NA
"112","112m","ctl","48","Reading Comprehension Test","YES - standardized",18.18,5.88,172,21.66,6.02,172,NA,NA,NA,NA,NA,NA
"113","113Nm","1","49","Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,516.6,28.39,164,NA,NA,NA,NA,NA,NA
"113","113Nm","1","50","Multiple text comprehension","NO - Not standardized",NA,NA,NA,4.3,0.67,164,NA,NA,NA,NA,NA,NA
"113","113m","2","51","Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,484.86,16.78,229.6,NA,NA,NA,NA,NA,NA
"113","113m","2","52","Multiple text comprehension","NO - Not standardized",NA,NA,NA,3,0,229.6,NA,NA,NA,NA,NA,NA
"113","113bau","ctl","53","Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,484,8.72,98.4,NA,NA,NA,NA,NA,NA
"113","113bau","ctl","54","Multiple text comprehension","NO - Not standardized",NA,NA,NA,2.67,0.58,98.4,NA,NA,NA,NA,NA,NA
"114","114Ncm","1","55","Reading comprehension  Accuracy (from RAMA-the Israeli National Authority for Measurement and Evaluation (2015))","YES - standardized",NA,NA,NA,84.55,8.77,29,NA,NA,NA,NA,NA,NA
"114","114bau","ctl","56","Reading comprehension  Accuracy (from RAMA-the Israeli National Authority for Measurement and Evaluation (2015))","YES - standardized",NA,NA,NA,60.67,22.73,29,NA,NA,NA,NA,NA,NA
"115","115NVm","1","57","RC  (SRT) pretest ONLY - Sentence Reading Test","YES - standardized",15.47,4.43,103,NA,NA,89,NA,NA,NA,NA,NA,NA
"115","115NVm","1","58","RC  (maze)","NO - Not standardized",NA,NA,NA,22.04,7.19,89,NA,NA,NA,NA,NA,NA
"115","115NVm","1","59","RC (NLCT)","YES - standardized",NA,NA,NA,6.01,2.13,89,NA,NA,NA,NA,NA,NA
"115","115NVm","1","60","RC (RGT)","NO - Not standardized",NA,NA,NA,6.24,3.09,89,NA,NA,NA,NA,NA,NA
"115","115bau","ctl","61","RC  (SRT) pretest ONLY - Sentence Reading Test","YES - standardized",16.46,5.28,113,NA,NA,90,NA,NA,NA,NA,NA,NA
"115","115bau","ctl","62","RC  (maze)","NO - Not standardized",NA,NA,NA,23.21,7.33,90,NA,NA,NA,NA,NA,NA
"115","115bau","ctl","63","RC (NLCT)","YES - standardized",NA,NA,NA,6.25,1.98,90,NA,NA,NA,NA,NA,NA
"115","115bau","ctl","64","RC (RGT)","NO - Not standardized",NA,NA,NA,5.89,2.92,90,NA,NA,NA,NA,NA,NA
