"id_es","chr_authorname","id_study","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
216,"Alhaidari, 2006","140","USA","USA","English","English","School Environment","disseration","QED","140_1","140_1Ncm","N","cm","1","Experimental (coopeative learning)","4","Elementary",9.5,NA,NA,NA,1,1,1,"No / Not reported","classroom/ large group","School Staff",1080,24,45,"Not reported","Reading Comprehension Tests","NO - Not standardized",7.82,3.7,17,8.47,3.52,17,NA,NA,NA,NA,NA,NA
217,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140_1","140_1bau",NA,NA,"ctl","Comparison","4","Elementary",9.5,NA,NA,NA,1,1,1,"No / Not reported","classroom/ large group","School Staff",1080,24,45,"Not reported","Reading Comprehension Tests","NO - Not standardized",7.64,3.65,14,8,3.4,14,NA,NA,NA,NA,NA,NA
218,"Alhaidari, 2006","140","USA","USA","English","English","School Environment","disseration","QED","140_2","140_2Ncm","N","cm","1","Experimental (coopeative learning)","5","Elementary",10.5,NA,NA,NA,1,1,1,"No / Not reported","classroom/ large group","School Staff",1080,24,45,"Not reported","Reading Comprehension Tests","NO - Not standardized",9.67,3.42,12,11.58,3.94,12,NA,NA,NA,NA,NA,NA
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140_2","140_2bau",NA,NA,"ctl","Comparison","5","Elementary",10.5,NA,NA,NA,1,1,1,"No / Not reported","classroom/ large group","School Staff",1080,24,45,"Not reported","Reading Comprehension Tests","NO - Not standardized",9.64,3.47,14,10.86,4.05,14,NA,NA,NA,NA,NA,NA
220,"Berkeley， 2007","141","USA","USA","English","English","School Environment","disseration","RCT","141","141NTm","NT","m","1","RCS + AR (7 groups)","7, 8, 9","Secondary",13.2,0.508,"1",NA,0.363636363636364,0.727,0.773,"Yes (Including CAI)","small group (3–7 students)","Research Staff",360,12,30,"Reported","Main Idea Test","YES - standardized",3.82,1.31,22,7.39,2.17,22,NA,NA,NA,NA,NA,NA
221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Production Subtest","NO - Not standardized",2.14,1.36,22,3.41,1.99,22,NA,NA,NA,NA,NA,NA
222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.32,1.52,22,5.45,1.65,22,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Total Score","NO - Not standardized",6.45,2.24,22,8.86,3.39,22,NA,NA,NA,NA,NA,NA
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141","141Nm","N","m","2","RCS (7 groups)","7, 8, 9","Secondary",13.2,0.508,"1",NA,0.4,0.6,0.95,"Yes (Including CAI)","small group (3–7 students)","School Staff",360,12,30,"Reported","Main Idea Test","YES - standardized",3.7,1.73,20,6.35,1.78,20,NA,NA,NA,NA,NA,NA
225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Production Subtest","NO - Not standardized",1.55,1.4,20,3,2.18,20,NA,NA,NA,NA,NA,NA
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.2,1.44,20,4.95,1.79,20,NA,NA,NA,NA,NA,NA
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Total Score","NO - Not standardized",5.75,2.2,20,7.95,3.76,20,NA,NA,NA,NA,NA,NA
228,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141","141cm",NA,"cm","ctl","RN (7 groups)","7, 8, 9","Secondary",13.2,0.508,"1",NA,0.380952380952381,0.714,0.905,"Yes (Including CAI)","small group (3–7 students)","School Staff",360,12,30,"Reported","Main Idea Test","YES - standardized",3.79,1.61,21,4.93,1.55,21,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Production Subtest","NO - Not standardized",1.71,1.19,21,3.05,2.11,21,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.1,1.22,21,5.19,2.02,21,NA,NA,NA,NA,NA,NA
231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Total Score","NO - Not standardized",5.81,2.18,21,8.24,3.86,21,NA,NA,NA,NA,NA,NA
232,"Chan， 1996","142","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT","142_1","142_1Tm","T","m","1","SUAT - poor readers","7","Secondary",13,1,NA,1,NA,0.675,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",4.18,2.6,11,8.18,1.72,11,"6.64",3.11,11,1,NA,NA
233,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142_1","142_1Tm","T","m","2","SIAT - poor readers","7","Secondary",13,1,NA,1,NA,0.675,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",4.38,2.5,9,4.88,3.52,9,"5.13",2.48,9,1,NA,NA
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142_1","142_1m",NA,"m","ctl","ST - poor readers","7","Secondary",13,1,NA,1,NA,0.675,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",4.44,2.92,9,4.56,2.01,9,"#",2.35,9,1,NA,NA
236,"Chan， 1996","142","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT","142_2","142_2Tm","T","m","1","SUAT - ave. readers","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",7.94,2.78,18,9.56,2.33,18,"7.33",1.75,18,1,NA,NA
