"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl","m_post_int","m_post_ctl","sd_post_int","sd_post_ctl","n_post_int","n_post_ctl","m_delayed_int","m_delayed_ctl","sd_delayed_int","sd_delayed_ctl","n_delayed_int","n_delayed_ctl","num_month_of_delayed_int","num_month_of_delayed_ctl"
"109_1","109_1Ncm","1",35,"* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",21.11,9.49,605,"109_1bau","ctl",36,21.66,9.32,530,32.3,30.7,13.92,13.86,605,530,NA,NA,NA,NA,NA,NA,NA,NA
"109_2","109_2Ncm","1",37,"* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",23.59,8.05,593,"109_2bau","ctl",38,23.56,8.34,535,33.7,32.3,14.87,13.83,593,535,NA,NA,NA,NA,NA,NA,NA,NA
"110","110NVGm","1",39,"NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",21,3.35,25.3333333333333,"110bau","ctl",43,18.05,4.94,25.3333333333333,24.54,17.8,2.98,4.93,25.3333333333333,25.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"110","110NVGm","1",40,"Reading  comprehension  test","NO - Not standardized",34.67,24.15,25.3333333333333,"110bau","ctl",44,30.81,28.05,25.3333333333333,66.63,45.08,30.28,35.48,25.3333333333333,25.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"110","110m","2",41,"NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",17.13,7.93,25.3333333333333,"110bau","ctl",43,18.05,4.94,25.3333333333333,21.65,17.8,6.14,4.93,25.3333333333333,25.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"110","110m","2",42,"Reading  comprehension  test","NO - Not standardized",13.84,13.17,25.3333333333333,"110bau","ctl",44,30.81,28.05,25.3333333333333,30.32,45.08,22.26,35.48,25.3333333333333,25.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"111","111Nm","1",45,"Post RC test","NO - Not standardized",NA,NA,NA,"111bau","ctl",46,NA,NA,NA,82.22,47.18,18.12,23.85,32,34,NA,NA,NA,NA,NA,NA,NA,NA
"112","112Nm","1",47,"Reading Comprehension Test","YES - standardized",17.8,5.58,155,"112m","ctl",48,18.18,5.88,172,21.47,21.66,5.75,6.02,155,172,NA,NA,NA,NA,NA,NA,NA,NA
"113","113Nm","1",49,"Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,"113bau","ctl",53,NA,NA,NA,516.6,484,28.39,8.72,164,98.4,NA,NA,NA,NA,NA,NA,NA,NA
"113","113Nm","1",50,"Multiple text comprehension","NO - Not standardized",NA,NA,NA,"113bau","ctl",54,NA,NA,NA,4.3,2.67,0.67,0.58,164,98.4,NA,NA,NA,NA,NA,NA,NA,NA
